GROUP,CODE,NAME,YEAR,ANTIGEN,ANTIGEN_DESCRIPTION,COVERAGE_CATEGORY,COVERAGE_CATEGORY_DESCRIPTION,TARGET_NUMBER,DOSES,COVERAGE
COUNTRIES,AFG,Afghanistan,2023,BCG,BCG,ADMIN,Administrative coverage,2057002.0,1969540.0,95.75
COUNTRIES,AFG,Afghanistan,2023,BCG,BCG,OFFICIAL,Official coverage,,,95.75
COUNTRIES,AFG,Afghanistan,2023,DTPCV1,"DTP-containing vaccine, 1st dose",ADMIN,Administrative coverage,1962370.0,1891030.0,96.36
COUNTRIES,AFG,Afghanistan,2023,DTPCV1,"DTP-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,96.36
COUNTRIES,AFG,Afghanistan,2023,HEPB3,"HepB, 3rd dose",ADMIN,Administrative coverage,1962370.0,1692613.0,86.25
COUNTRIES,AFG,Afghanistan,2023,HEPB_BD,"HepB, birth dose (given within 24 hours of birth)",OFFICIAL,Official coverage,,,55.18
COUNTRIES,AFG,Afghanistan,2023,HIB3,"Hib, 3rd dose",ADMIN,Administrative coverage,1962370.0,1692613.0,86.25
COUNTRIES,AFG,Afghanistan,2023,IPV1,"Inactivated polio-containing vaccine, 1st dose",ADMIN,Administrative coverage,1995511.0,1695483.0,84.96
COUNTRIES,AFG,Afghanistan,2023,IPV2,"Inactivated polio-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1995511.0,1301294.0,65.21
COUNTRIES,AFG,Afghanistan,2023,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1962370.0,1522396.0,77.58
COUNTRIES,AFG,Afghanistan,2023,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,77.58
COUNTRIES,AFG,Afghanistan,2023,MCV1,"Measles-containing vaccine, 1st dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,55.0
COUNTRIES,AFG,Afghanistan,2023,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1962370.0,1179611.0,60.11
COUNTRIES,AFG,Afghanistan,2023,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,60.11
COUNTRIES,AFG,Afghanistan,2023,MCV2,"Measles-containing vaccine, 2nd dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,42.0
COUNTRIES,AFG,Afghanistan,2023,PCV1,"Pneumococcal conjugate vaccine, 1st dose",ADMIN,Administrative coverage,1962370.0,1871282.0,95.36
COUNTRIES,AFG,Afghanistan,2023,PCV1,"Pneumococcal conjugate vaccine, 1st dose",OFFICIAL,Official coverage,,,95.36
COUNTRIES,AFG,Afghanistan,2023,PCV2,"Pneumococcal conjugate vaccine, 2nd dose",ADMIN,Administrative coverage,1962370.0,1713204.0,87.3
COUNTRIES,AFG,Afghanistan,2023,PCV2,"Pneumococcal conjugate vaccine, 2nd dose",OFFICIAL,Official coverage,,,87.3
COUNTRIES,AFG,Afghanistan,2023,PCV3,"Pneumococcal conjugate vaccine, final dose",ADMIN,Administrative coverage,1962370.0,1665138.0,84.85
COUNTRIES,AFG,Afghanistan,2023,PCV3,"Pneumococcal conjugate vaccine, final dose",OFFICIAL,Official coverage,,,84.85
COUNTRIES,AFG,Afghanistan,2023,PCV3,"Pneumococcal conjugate vaccine, final dose",WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,58.0
COUNTRIES,AFG,Afghanistan,2024,BCG,BCG,ADMIN,Administrative coverage,2002760.0,1929249.0,96.33
COUNTRIES,AFG,Afghanistan,2024,BCG,BCG,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,,,68.0
COUNTRIES,AFG,Afghanistan,2024,DTPCV1,"DTP-containing vaccine, 1st dose",ADMIN,Administrative coverage,1910633.0,1814967.0,94.99
COUNTRIES,AFG,Afghanistan,2024,DTPCV3,"DTP-containing vaccine, 3rd dose",ADMIN,Administrative coverage,1910633.0,1622836.0,84.94
COUNTRIES,AFG,Afghanistan,2024,HEPB3,"HepB, 3rd dose",ADMIN,Administrative coverage,1910633.0,1622836.0,84.94
COUNTRIES,AFG,Afghanistan,2024,HEPB_BD,"HepB, birth dose (given within 24 hours of birth)",ADMIN,Administrative coverage,2002760.0,1179134.0,58.88
COUNTRIES,AFG,Afghanistan,2024,HIB3,"Hib, 3rd dose",ADMIN,Administrative coverage,1910633.0,1622836.0,84.94
COUNTRIES,AFG,Afghanistan,2024,IPV1,"Inactivated polio-containing vaccine, 1st dose",ADMIN,Administrative coverage,1910633.0,1624371.0,85.02
COUNTRIES,AFG,Afghanistan,2024,IPV2,"Inactivated polio-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1910633.0,1328572.0,69.54
COUNTRIES,AFG,Afghanistan,2024,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1910633.0,1495172.0,78.26
COUNTRIES,AFG,Afghanistan,2024,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1910633.0,1179476.0,61.73
