GROUP,CODE,NAME,YEAR,ANTIGEN,ANTIGEN_DESCRIPTION,COVERAGE_CATEGORY,COVERAGE_CATEGORY_DESCRIPTION,TARGET_NUMBER,DOSES,COVERAGE
COUNTRIES,ABW,Aruba,2024,DIPHCV4,"Diphtheria-containing vaccine, 4th dose (1st booster)",ADMIN,Administrative coverage,948,879,92.72
COUNTRIES,ABW,Aruba,2024,DIPHCV4,"Diphtheria-containing vaccine, 4th dose (1st booster)",OFFICIAL,Official coverage,,,92.72
COUNTRIES,ABW,Aruba,2024,DIPHCV5,"Diphtheria-containing vaccine, 5th dose (2nd booster)",ADMIN,Administrative coverage,1235,1059,85.75
COUNTRIES,ABW,Aruba,2024,DIPHCV5,"Diphtheria-containing vaccine, 5th dose (2nd booster)",OFFICIAL,Official coverage,,,85.75
COUNTRIES,ABW,Aruba,2024,DIPHCV6,"Diphtheria-containing vaccine, 6th dose (3rd booster)",ADMIN,Administrative coverage,1423,1154,81.1
COUNTRIES,ABW,Aruba,2024,DIPHCV6,"Diphtheria-containing vaccine, 6th dose (3rd booster)",OFFICIAL,Official coverage,,,81.1
COUNTRIES,ABW,Aruba,2024,DTPCV1,"DTP-containing vaccine, 1st dose",ADMIN,Administrative coverage,893,866,96.98
COUNTRIES,ABW,Aruba,2024,DTPCV1,"DTP-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,96.98
COUNTRIES,ABW,Aruba,2024,DTPCV3,"DTP-containing vaccine, 3rd dose",ADMIN,Administrative coverage,893,852,95.41
COUNTRIES,ABW,Aruba,2024,DTPCV3,"DTP-containing vaccine, 3rd dose",OFFICIAL,Official coverage,,,95.41
COUNTRIES,ABW,Aruba,2024,HEPB3,"HepB, 3rd dose",ADMIN,Administrative coverage,893,843,94.4
COUNTRIES,ABW,Aruba,2024,HEPB3,"HepB, 3rd dose",OFFICIAL,Official coverage,,,94.4
COUNTRIES,ABW,Aruba,2024,HIB3,"Hib, 3rd dose",ADMIN,Administrative coverage,893,852,95.41
COUNTRIES,ABW,Aruba,2024,HIB3,"Hib, 3rd dose",OFFICIAL,Official coverage,,,95.41
COUNTRIES,ABW,Aruba,2024,HPV_FEM,"HPV Female, final dose",ADMIN,Administrative coverage,728,485,66.62
COUNTRIES,ABW,Aruba,2024,HPV_FEM,"HPV Female, final dose",OFFICIAL,Official coverage,,,66.62
COUNTRIES,ABW,Aruba,2024,HPV_FEM1,"HPV Female, 1st dose",ADMIN,Administrative coverage,728,540,74.18
COUNTRIES,ABW,Aruba,2024,HPV_FEM1,"HPV Female, 1st dose",OFFICIAL,Official coverage,,,74.18
COUNTRIES,ABW,Aruba,2024,IPV1,"Inactivated polio-containing vaccine, 1st dose",ADMIN,Administrative coverage,893,866,96.98
COUNTRIES,ABW,Aruba,2024,IPV1,"Inactivated polio-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,96.98
COUNTRIES,ABW,Aruba,2024,IPV2,"Inactivated polio-containing vaccine, 2nd dose",ADMIN,Administrative coverage,893,863,96.64
COUNTRIES,ABW,Aruba,2024,IPV2,"Inactivated polio-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,96.64
COUNTRIES,ABW,Aruba,2024,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,948,894,94.3
COUNTRIES,ABW,Aruba,2024,MCV1,"Measles-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,94.3
COUNTRIES,ABW,Aruba,2024,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1235,1040,84.21
COUNTRIES,ABW,Aruba,2024,MCV2,"Measles-containing vaccine, 2nd dose",OFFICIAL,Official coverage,,,84.21
COUNTRIES,ABW,Aruba,2024,PCV1,"Pneumococcal conjugate vaccine, 1st dose",ADMIN,Administrative coverage,893,866,96.98
COUNTRIES,ABW,Aruba,2024,PCV1,"Pneumococcal conjugate vaccine, 1st dose",OFFICIAL,Official coverage,,,96.98
COUNTRIES,ABW,Aruba,2024,PCV2,"Pneumococcal conjugate vaccine, 2nd dose",ADMIN,Administrative coverage,893,859,96.19
COUNTRIES,ABW,Aruba,2024,PCV2,"Pneumococcal conjugate vaccine, 2nd dose",OFFICIAL,Official coverage,,,96.19
COUNTRIES,ABW,Aruba,2024,PCV3,"Pneumococcal conjugate vaccine, final dose",ADMIN,Administrative coverage,948,888,93.67
COUNTRIES,ABW,Aruba,2024,PERCV4,"Pertussis-containing vaccine, 4th dose (1st booster)",ADMIN,Administrative coverage,948,879,92.72
COUNTRIES,ABW,Aruba,2024,PERCV4,"Pertussis-containing vaccine, 4th dose (1st booster)",OFFICIAL,Official coverage,,,92.72
COUNTRIES,ABW,Aruba,2024,POL3,"Polio, 3rd dose",ADMIN,Administrative coverage,893,852,95.41
COUNTRIES,ABW,Aruba,2024,POL3,"Polio, 3rd dose",OFFICIAL,Official coverage,,,95.41
COUNTRIES,ABW,Aruba,2024,RCV1,"Rubella-containing vaccine, 1st dose",ADMIN,Administrative coverage,948,894,94.3
COUNTRIES,ABW,Aruba,2024,RCV1,"Rubella-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,94.3
COUNTRIES,ABW,Aruba,2024,TTCV4,"Tetanus-containing vaccine, 4th dose (1st booster)",ADMIN,Administrative coverage,948,879,92.72
COUNTRIES,ABW,Aruba,2024,TTCV4,"Tetanus-containing vaccine, 4th dose (1st booster)",OFFICIAL,Official coverage,,,92.72
COUNTRIES,ABW,Aruba,2024,TTCV5,"Tetanus-containing vaccine, 5th dose (2nd booster)",ADMIN,Administrative coverage,1235,1059,85.75
COUNTRIES,ABW,Aruba,2024,TTCV5,"Tetanus-containing vaccine, 5th dose (2nd booster)",OFFICIAL,Official coverage,,,85.75
COUNTRIES,ABW,Aruba,2024,TTCV6,"Tetanus-containing vaccine, 6th dose (3rd booster)",ADMIN,Administrative coverage,1423,1154,81.1
COUNTRIES,ABW,Aruba,2024,TTCV6,"Tetanus-containing vaccine, 6th dose (3rd booster)",OFFICIAL,Official coverage,,,81.1
COUNTRIES,ABW,Aruba,2023,DIPHCV4,"Diphtheria-containing vaccine, 4th dose (1st booster)",ADMIN,Administrative coverage,1044,945,90.52
COUNTRIES,ABW,Aruba,2023,DIPHCV4,"Diphtheria-containing vaccine, 4th dose (1st booster)",OFFICIAL,Official coverage,,,90.52
COUNTRIES,ABW,Aruba,2023,DIPHCV5,"Diphtheria-containing vaccine, 5th dose (2nd booster)",ADMIN,Administrative coverage,1219,1008,82.69
COUNTRIES,ABW,Aruba,2023,DIPHCV5,"Diphtheria-containing vaccine, 5th dose (2nd booster)",OFFICIAL,Official coverage,,,82.69
COUNTRIES,ABW,Aruba,2023,DIPHCV6,"Diphtheria-containing vaccine, 6th dose (3rd booster)",ADMIN,Administrative coverage,1468,1219,83.04
COUNTRIES,ABW,Aruba,2023,DIPHCV6,"Diphtheria-containing vaccine, 6th dose (3rd booster)",OFFICIAL,Official coverage,,,83.04
COUNTRIES,ABW,Aruba,2023,DTPCV1,"DTP-containing vaccine, 1st dose",ADMIN,Administrative coverage,945,926,97.99
COUNTRIES,ABW,Aruba,2023,DTPCV1,"DTP-containing vaccine, 1st dose",OFFICIAL,Official coverage,,,97.99
COUNTRIES,ABW,Aruba,2023,DTPCV3,"DTP-containing vaccine, 3rd dose",ADMIN,Administrative coverage,945,907,95.98
COUNTRIES,ABW,Aruba,2023,DTPCV3,"DTP-containing vaccine, 3rd dose",OFFICIAL,Official coverage,,,95.98
COUNTRIES,ABW,Aruba,2023,HEPB3,"HepB, 3rd dose",ADMIN,Administrative coverage,945,896,94.81
COUNTRIES,ABW,Aruba,2023,HEPB3,"HepB, 3rd dose",OFFICIAL,Official coverage,,,94.81
COUNTRIES,ABW,Aruba,2023,HIB3,"Hib, 3rd dose",ADMIN,Administrative coverage,945,907,95.98
COUNTRIES,ABW,Aruba,2023,HIB3,"Hib, 3rd dose",OFFICIAL,Official coverage,,,95.98
COUNTRIES,ABW,Aruba,2023,HPV_FEM,"HPV Female, final dose",ADMIN,Administrative coverage,693,442,63.78
